rxns,eccodes,genes
R01293,ec-code/1.2.1.28;ec-code/1.2.1.64,IB49_05715
R01294,ec-code/1.2.1.7;ec-code/1.2.1.96,IB49_01455
R01300,ec-code/6.2.1.27,IB49_13605
R01325,ec-code/4.2.1.3,IB49_16985
R01333,ec-code/1.2.1.21,IB49_05715
R01353,ec-code/2.7.2.1;ec-code/2.7.2.15,IB49_05785
R01357,ec-code/6.2.1.16,IB49_17760
R01365,ec-code/2.8.3.9,IB49_01875
R01373,ec-code/4.2.1.51;ec-code/4.2.1.91,IB49_04880
R01374,ec-code/1.4.5.1,IB49_17395
R01385,ec-code/5.1.3.6,IB49_09140
R01392,ec-code/1.1.1.79;ec-code/1.1.1.81,IB49_06925 or IB49_03020 or IB49_17995 or IB49_12460
R01394,ec-code/5.3.1.22,IB49_17990
R01397,ec-code/2.1.3.2,IB49_15990 or IB49_16005
R01398,ec-code/2.1.3.3,IB49_14310
R01401,ec-code/3.2.2.9;ec-code/3.2.2.16,IB49_04580
R01419,ec-code/1.2.1.28,IB49_05715
R01422,ec-code/6.2.1.25,IB49_13605
R01424,ec-code/3.5.1.32,IB49_08765
R01430,ec-code/1.1.1.179,IB49_01385
R01432,ec-code/5.3.1.5,IB49_01375
R01434,ec-code/1.4.1.9;ec-code/1.4.1.23,IB49_03695
R01446,ec-code/1.2.1.22,IB49_05715 or IB49_01455
R01466,ec-code/4.2.3.1,IB49_06915 or IB49_00840
R01470,ec-code/3.1.4.2;ec-code/3.1.4.46,IB49_01085 or IB49_03710
R01473,ec-code/5.1.3.5,IB49_09080
R01481,ec-code/1.1.1.2;ec-code/1.1.1.19,IB49_13225
R01492,ec-code/2.5.1.17,IB49_03055 or IB49_00970
R01505,ec-code/1.3.1.28,IB49_00340
R01512,ec-code/2.7.2.3,IB49_07365
R01513,ec-code/1.1.1.95,IB49_03020
R01518,ec-code/5.4.2.11;ec-code/5.4.2.12,IB49_07355 or IB49_17740
R01521,ec-code/1.1.1.47,IB49_16180
R01525,ec-code/1.1.1.137;ec-code/1.1.1.405,IB49_10690
R01528,ec-code/1.1.1.44;ec-code/1.1.1.351,IB49_03505 or IB49_02195
R01529,ec-code/5.1.3.1,IB49_16120
R01541,ec-code/2.7.1.45;ec-code/2.7.1.178,IB49_01640
R01542,ec-code/1.1.1.125;ec-code/1.1.1.127,IB49_18420
R01544,ec-code/4.3.1.9,IB49_07485
R01547,ec-code/2.7.4.3;ec-code/2.7.4.11,IB49_10930
R01548,ec-code/2.7.1.48,IB49_04610
R01549,ec-code/2.7.1.48,IB49_04610
R01557,ec-code/5.4.99.16,IB49_13340
R01558,ec-code/6.2.1.8,IB49_13605
R01561,ec-code/2.4.2.1,IB49_03365 or IB49_18245
R01562,ec-code/3.1.3.6,IB49_00850 or IB49_08200
R01567,ec-code/2.7.1.21,IB49_09450
