ProteinID	ReplicateA	ReplicateB	ReplicateC	ReplicateD
AKU26583.1	0.000143110253290909	0.00011435297132056	0.000119606196225474	0.000106799607390224
AKU26584.1	0.000646356138673749	0.000899900158168251	0.00122870309097101	0.000768103071148153
AKU26585.1	0.000511907560638301	0.000544187365794573	0.000497856699094575	0.000649956338409237
AKU26586.1	9.73743899000004e-05	9.09574827641322e-05	8.46899542934099e-05	4.78178200315497e-05
AKU26587.1	0.000683076998699006	0.000726100219677079	0.000878034969617904	0.000685437233428551
AKU26588.1	0.000675608315051086	0.00085817755702932	0.000752791529894795	0.000809069501401221
AKU26590.1	0.00019454702361417	0.000182659235850828	0.000442978628124741	0.000170456525896654
AKU26594.1	0.00135564654797805	0.0014961698992945	0.00143891550731521	0.00111051708518358
AKU26596.1	0.000146458182955959	0.000140904207373294	0.000174093185895347	0.000205867315488505
AKU26603.1	0.000164820618235582	0.000161619955167854	9.84369671802619e-05	0.000110275985853361
AKU26612.1	4.6510838582243e-05	3.10645867792721e-05	0.000114222334577544	1.58070709429302e-05
AKU26613.1	3.28766515642351e-05	4.8039962232861e-05	5.01966031606058e-05	3.1117799622999e-05
AKU26614.1	0.000893722977369816	0.000909474531365478	0.00148386498051975	0.00032160245178013
AKU26616.1	0.00219357199757429	0.00267416471379282	0.002845014492163	0.00250713066481451
AKU26617.1	0.00144781746001268	0.0013420875535336	0.00123195994945087	0.00144989195408005
AKU26618.1	0.000496460035008033	0.000544821565509066	0.000397428714446449	0.000678319519232679
AKU26619.1	0.00176520198304953	0.00189148754420698	0.00163773436301995	0.00189633925221882
AKU26620.1	0.000403665452919445	0.000430515522587727	0.000569244748794613	0.000275334666959289
AKU26621.1	0.00027168740057552	0.000272527879361133	0.000747494910062403	0.000238305397393486
AKU26622.1	3.07127440773813e-05	1.27916106246715e-05	3.69950485232499e-05	6.04263795124955e-05
AKU26624.1	0.000302305711033411	0.000100925302866178	0.000270771091294857	0.000137045421451856
AKU26626.1	0.000569762550493538	0.000870019986810655	0.000900741979640652	0.000633232744113815
AKU26627.1	0.00446547611874092	0.00448492145603623	0.00394918212726054	0.0056434635918317
AKU26628.1	9.37541244577133e-05	0.000101622165272585	8.13657137165495e-05	5.46359608906412e-05
